winning_tail,test_lo2,lane_id,lane_name,source_flow,candidate_hit,official_bt,official_missed,source_region,source_station,source_prize,source_index,lag,transform,rank,votes,weighted_score,FULL_SPENT,boost_dominance,current_day_support,source_pool_present,classification,why_official_missed
60,"[""60"", ""54""]",1385,MT_ADAPTIVE_EXPLOIT_V1,MT_ADAPTIVE_EXPLOIT_V1,False,07,True,mixed,mixed,mixed,mixed,mixed,mixed,,0,0.65,True,False,"{""tail"": ""60"", ""rank"": null, ""top5"": false, ""top10"": false, ""votes"": 0, ""sources"": {}, ""ai_chain_votes"": 0, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": false}",False,LUCKY_LANE_HIT,official committed 60/80; winning lane tail came from lane/test path not official selector
97,"[""97"", ""83""]",1386,MT_ADAPTIVE_BUDGET_SELECTOR_V1,ai_chain/shadow_auto_eval,True,07,True,mixed,mixed,mixed,mixed,mixed,mixed,2,6,0.65,True,True,"{""tail"": ""97"", ""rank"": 2, ""top5"": true, ""top10"": true, ""votes"": 6, ""sources"": {""ai_chain"": 4, ""shadow_auto_eval"": 2}, ""ai_chain_votes"": 4, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": true}",True,BOOST_CONFLICT,official committed 60/80; winning lane tail came from lane/test path not official selector
97,"[""97"", ""07""]",1388,MT_ADAPTIVE_BUDGET_SELECTOR_V1,ai_chain/shadow_auto_eval,True,07,True,mixed,mixed,mixed,mixed,mixed,mixed,2,6,0.65,True,True,"{""tail"": ""97"", ""rank"": 2, ""top5"": true, ""top10"": true, ""votes"": 6, ""sources"": {""ai_chain"": 4, ""shadow_auto_eval"": 2}, ""ai_chain_votes"": 4, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": true}",True,BOOST_CONFLICT,official committed 60/80; winning lane tail came from lane/test path not official selector
97,"[""97"", ""07""]",1389,MT_ADAPTIVE_BUDGET_SELECTOR_V1,ai_chain/shadow_auto_eval,True,07,True,mixed,mixed,mixed,mixed,mixed,mixed,2,6,0.65,True,True,"{""tail"": ""97"", ""rank"": 2, ""top5"": true, ""top10"": true, ""votes"": 6, ""sources"": {""ai_chain"": 4, ""shadow_auto_eval"": 2}, ""ai_chain_votes"": 4, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": true}",True,BOOST_CONFLICT,official committed 60/80; winning lane tail came from lane/test path not official selector
97,"[""97"", ""07""]",1392,MT_ADAPTIVE_BUDGET_SELECTOR_V1,ai_chain/shadow_auto_eval,True,07,True,mixed,mixed,mixed,mixed,mixed,mixed,2,6,0.65,True,True,"{""tail"": ""97"", ""rank"": 2, ""top5"": true, ""top10"": true, ""votes"": 6, ""sources"": {""ai_chain"": 4, ""shadow_auto_eval"": 2}, ""ai_chain_votes"": 4, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": true}",True,BOOST_CONFLICT,official committed 60/80; winning lane tail came from lane/test path not official selector
97,"[""97"", ""83""]",1394,MT_ADAPTIVE_BUDGET_SELECTOR_V1,ai_chain/shadow_auto_eval,True,07,True,mixed,mixed,mixed,mixed,mixed,mixed,2,6,0.65,True,True,"{""tail"": ""97"", ""rank"": 2, ""top5"": true, ""top10"": true, ""votes"": 6, ""sources"": {""ai_chain"": 4, ""shadow_auto_eval"": 2}, ""ai_chain_votes"": 4, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": true}",True,BOOST_CONFLICT,official committed 60/80; winning lane tail came from lane/test path not official selector
97,"[""97"", ""07""]",1396,MT_ADAPTIVE_BUDGET_SELECTOR_V1,ai_chain/shadow_auto_eval,True,07,True,mixed,mixed,mixed,mixed,mixed,mixed,2,6,0.65,True,True,"{""tail"": ""97"", ""rank"": 2, ""top5"": true, ""top10"": true, ""votes"": 6, ""sources"": {""ai_chain"": 4, ""shadow_auto_eval"": 2}, ""ai_chain_votes"": 4, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": true}",True,BOOST_CONFLICT,official committed 60/80; winning lane tail came from lane/test path not official selector
97,"[""97"", ""07""]",1397,MT_ADAPTIVE_BUDGET_SELECTOR_V1,ai_chain/shadow_auto_eval,True,07,True,mixed,mixed,mixed,mixed,mixed,mixed,2,6,0.65,True,True,"{""tail"": ""97"", ""rank"": 2, ""top5"": true, ""top10"": true, ""votes"": 6, ""sources"": {""ai_chain"": 4, ""shadow_auto_eval"": 2}, ""ai_chain_votes"": 4, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": true}",True,BOOST_CONFLICT,official committed 60/80; winning lane tail came from lane/test path not official selector
97,"[""97"", ""07""]",1400,MT_ADAPTIVE_BUDGET_SELECTOR_V1,ai_chain/shadow_auto_eval,True,07,True,mixed,mixed,mixed,mixed,mixed,mixed,2,6,0.65,True,True,"{""tail"": ""97"", ""rank"": 2, ""top5"": true, ""top10"": true, ""votes"": 6, ""sources"": {""ai_chain"": 4, ""shadow_auto_eval"": 2}, ""ai_chain_votes"": 4, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": true}",True,BOOST_CONFLICT,official committed 60/80; winning lane tail came from lane/test path not official selector
60,"[""60"", ""54""]",1401,MT_ADAPTIVE_EXPLOIT_V1,MT_ADAPTIVE_EXPLOIT_V1,False,07,True,mixed,mixed,mixed,mixed,mixed,mixed,,0,0.65,True,False,"{""tail"": ""60"", ""rank"": null, ""top5"": false, ""top10"": false, ""votes"": 0, ""sources"": {}, ""ai_chain_votes"": 0, ""rerun_post_mn_votes"": 0, ""rerun_post_mt_votes"": 0, ""boost_dominance"": false}",False,LUCKY_LANE_HIT,official committed 60/80; winning lane tail came from lane/test path not official selector
